objid,ra,dec,chi2,F,r0,period,EBV,deltaEBV10011607524761397248,83.53265,32.31936,99.001,0.887,12.961,1.63003,0.864,0.079
11501173101514029056,331.95910,55.98257,233.264,1.514,13.799,3.07779,0.922,0.169
11519381014070597632,335.76926,57.74429,127.949,0.684,13.967,1.12351,0.867,0.208
11555638509508311040,341.41307,59.71290,16.605,0.851,11.476,2.99102,1.284,0.158
11591825636200552448,345.84403,61.27341,93.376,1.679,11.854,5.43533,1.324,0.061
11609664112849958912,341.57167,59.09533,123.211,1.784,12.093,3.69772,1.257,0.173
11610596498710532096,10.85828,62.14670,161.947,1.125,13.221,2.84122,1.201,0.238
11682143919352686592,353.52954,62.81888,17.372,0.855,12.203,2.05153,1.632,0.099
11898510215512952832,0.44153,62.42420,69.374,1.591,11.293,3.87577,0.626,0.133
8084928901362525184,91.34517,20.94565,623.876,0.737,12.375,2.94504,0.959,0.266
9975508358998138880,83.14633,33.36483,3.971,0.860,10.886,7.29147,0.889,0.123
