objid,ra,dec,rm,gm,im,zm,ym,hmag,w1mag,chi2, rms, rms_flat,DM, Ag, period,EBV,ng,nr,ni,nz,ny
11500909218723884307,327.12054,52.97680,16.525,17.791,15.573,15.166,14.770,12.525,12.151,24.596,1401.964,5977.542,15.617,0.688,1.82316,1.251,14,13,20,12,12
11500909218725177288,327.21790,53.07291,17.410,18.415,16.903,16.473,16.292,14.507,13.825,17.860,1000.161,1027.775,17.113,0.314,1.09812,0.811,11,20,17,10,12
11501173101514028134,331.95913,55.98259,16.481,17.940,15.409,15.017,14.429,12.243,11.486,12.070,700.085,3299.695,15.656,0.565,3.07826,1.484,12,17,18,16,11
11519381014070597455,335.76932,57.74433,16.554,18.313,15.556,14.742,14.211,11.909,11.349,7.591,311.224,1063.352,14.097,0.395,1.12009,1.745,7,7,15,16,17
11555638509508310413,341.41312,59.71294,14.982,16.866,14.000,13.304,12.931,10.726,10.007,8.304,373.699,950.495,14.092,0.592,2.99036,1.475,14,10,9,10,14
11591825636200553255,345.84402,61.27346,15.156,17.141,13.969,13.224,12.693,9.936,9.357,11.142,557.091,1364.752,14.308,0.394,5.43585,1.762,12,12,11,9,17
11609664112849958094,341.57156,59.09534,15.692,17.593,14.414,13.668,13.087,10.174,9.540,22.472,1056.202,3350.715,13.970,0.571,3.69658,1.919,10,12,11,13,15
11610596498710532764,10.85826,62.14671,16.631,18.619,15.707,14.780,14.268,11.724,11.147,13.739,480.850,2202.605,15.280,0.531,2.84117,1.745,4,12,11,8,10
11682143919352686643,353.52957,62.81886,16.483,18.290,15.388,14.521,14.027,11.703,10.974,5.868,228.839,1589.964,14.483,0.485,2.05138,1.773,12,4,13,11,12
11752794138507469327,324.79153,46.72547,14.062,14.598,13.447,13.429,12.987,11.417,11.321,14.694,382.040,4302.261,15.527,1.024,3.53024,0.500,9,8,2,9,12
11934662157834373270,4.26043,60.80281,13.896,14.957,13.017,12.888,12.421,10.659,9.982,9.340,289.545,1257.249,15.313,0.648,6.79709,0.830,8,10,5,8,14
11947504453647668582,291.32434,11.15065,18.078,19.520,17.216,16.766,16.576,14.490,14.057,17.474,821.284,950.412,19.385,0.309,8.08678,0.985,16,13,12,12,12
11952658964157860179,3.45106,60.93330,18.670,19.542,18.009,17.653,17.450,15.592,15.521,10.772,430.882,494.648,18.873,0.285,1.82878,0.745,11,10,16,9,10
12006385500338269445,353.81843,59.38141,18.375,19.428,17.521,16.846,16.525,14.466,14.249,16.791,973.863,1120.731,17.080,0.367,1.25861,1.224,12,12,12,17,17
12019685192987378746,293.03983,11.57693,14.906,16.572,13.459,12.697,12.287,9.787,9.204,13.896,402.974,768.263,12.050,0.529,0.99743,1.811,13,12,3,10,9
12881737493537129518,275.23236,-18.47328,16.806,18.218,15.980,15.468,15.177,12.586,11.233,8.480,313.751,1082.766,15.264,0.410,0.99505,1.334,18,13,17,11,12
4249480499960788408,112.78219,-25.89556,16.005,16.794,15.611,15.221,15.040,13.182,12.791,3.546,134.730,537.003,15.788,0.263,1.03788,0.733,10,9,8,9,12
4303611656419447175,111.21786,-26.18218,17.118,18.166,16.214,15.907,15.661,13.152,11.968,76.999,4003.924,11221.571,18.540,0.930,5.65706,0.817,10,12,9,16,15
4879597419698713312,110.45947,-16.73368,18.829,20.166,17.961,17.441,17.054,15.104,14.454,14.731,412.481,663.058,20.601,0.505,13.13544,1.032,13,8,10,11,9
5351384665039337478,266.07874,-23.22613,13.390,14.947,13.377,12.329,11.907,10.489,8.680,12.916,335.816,1593.302,16.035,1.262,16.08134,0.762,23,7,4,6,11
6086210276112229552,102.17989,-3.65976,16.970,17.754,16.607,16.336,16.072,14.522,14.528,23.456,1290.064,2493.155,17.581,0.368,1.47243,0.517,12,15,18,10,14
6104101529319550166,103.25713,-2.41420,17.057,17.770,16.470,16.409,16.041,14.531,14.208,34.094,1977.449,1998.859,18.027,0.389,2.09449,0.514,12,15,16,11,17
6446287140069363895,100.82247,1.16093,13.955,14.790,13.144,13.010,12.719,10.962,10.412,46.316,1528.431,2557.837,14.863,0.729,3.83084,0.769,16,7,8,6,10
6626395940792607487,99.26694,3.01688,14.854,15.692,14.466,14.180,13.930,12.604,12.263,18.658,839.603,991.193,14.898,0.388,1.04843,0.641,8,10,8,12,18
6896752655923347660,95.38084,4.05090,16.203,17.556,15.320,14.964,14.643,12.739,12.156,15.156,712.341,4317.827,15.185,0.530,1.08968,1.080,14,14,9,9,11
7238445685463972558,97.74133,11.89498,15.747,17.107,14.547,13.992,13.612,11.407,10.976,9.728,350.191,537.993,13.753,0.284,1.15288,1.502,8,10,10,7,13
8084928901362525464,91.34521,20.94564,15.394,17.284,14.067,13.434,13.003,10.327,9.618,15.018,735.881,3065.338,13.775,0.589,2.94572,1.777,10,16,12,12,11
9992467226344749137,74.09971,44.74698,18.350,19.210,17.823,17.468,17.143,15.756,15.310,7.892,497.207,701.899,18.250,0.272,1.30152,0.776,14,12,19,14,16
