# name      RAJ2000_x  DEJ2000_x  obj_id               ra                 dec                 col3     
  V1183_Aql 283.991395 12.00376   -6931901843638802813 283.99143559956343 12.003746994373424  3.288265 
  IN_Aur    78.863261  37.372478  -8435611537971571801 78.86324007809718  37.37245492462968   4.9111   
  AM_Cam    54.083949  62.287182  -8149932028796530935 54.08393197388948  62.28721366358332   3.997197 
  DT_Cas    353.748446 59.358189  -6440358573371130350 353.74846739615924 59.358139070549946  4.78996  
  FO_Cas    4.260433   60.802807  -6512081915874628237 4.26040085599747   60.802796472162775  6.7988   
  GO_Cas    38.774078  59.384083  -7519762332498916571 38.774113253054004 59.38402340448142   3.23904  
  IO_Cas    26.761303  59.606255  -7141864584079458907 26.761271972064954 59.606253417376315  5.60392  
  NP_Cas    5.990182   62.950165  -6764248310634688737 5.990493524172784  62.950002800755705  6.1706   
  OZ_Cas    18.58135   62.043991  -7052091658693956591 18.581373744901324 62.044000429486275  5.08     
  PW_Cas    351.493659 61.266853  -6692612929063018118 351.4937126275947  61.26673424463515   3.999927 
  KO_Cep    332.743015 56.291603  -6945535787823497359 332.7429685578934  56.29161442979501   4.55809  
  V347_Cyg  312.860749 46.121048  -7216930441929365222 312.8608325094684  46.12097846766439   8.7362   
  V554_Cyg  301.838314 40.178108  -7524002049334175137 301.83833377883894 40.17803031704853   4.327815 
  V641_Cyg  324.791564 46.725483  -6693949935202078235 324.7915491624657  46.72546451038465   3.53086  
  V1020_Cyg 299.787607 32.695446  -7254243468530399444 299.78762839977406 32.695452081661344  4.919964 
  V1025_Cyg 300.193159 30.907621  -7146227446218193821 300.1931242986562  30.90760798720232   6.96176  
  V1033_Cyg 301.336118 32.659107  -7182115505748678434 301.3361060228556  32.65919810439376   4.937512 
  V1046_Cyg 304.197875 36.549961  -7235824449741012550 304.1978867013047  36.54998013685656   4.9445   
  V1364_Cyg 301.87263  35.346382  -7290043567130745109 301.872619974574   35.34636699735383   12.9764  
  V1467_Cyg 301.009068 32.45068   -7182133097933590199 301.0090905187997  32.45065588858444   48.6     
  VZ_Mon    97.810603  11.85037   7238445685463958926  97.81059960911526  11.850364885635786  5.0834   
  AA_Mon    104.349043 -3.843322  5960021525616290604  104.34904633732458 -3.8433719908406676 3.938164 
  V446_Mon  100.822477 1.160919   6446287140069363606  100.82248376549367 1.1609377815343127  1.919459 
  V447_Mon  101.066638 4.498363   6626220018932555249  101.06664397159716 4.498409940768198   2.4838   
  V484_Mon  97.772668  -2.146796  6392595788262039649  97.77267811967523  -2.146769180295564  3.135233 
  DF_Ori    96.01727   11.708855  7310591240432190019  96.01726259412214  11.708853072695277  3.1807   
  DO_Ori    90.459012  15.401341  7815064767441165682  90.45900591297703  15.401342683017468  6.3435   
  BC_Pup    112.510627 -23.673996 4375475736409100320  112.51061264101742 -23.673986058584223 3.54434  
  CM_Pup    112.676634 -20.451981 4555426207458136767  112.67662878726482 -20.451994738956834 3.17337  
  DG_Sge    295.146344 19.285576  -6768804686821162189 295.1463364398191  19.28559453685267   4.43727  
  V2434_Sgr 269.732913 -29.182459 5206776895758018477  269.7329198381442  -29.182545764943054 2.8838   
  V3910_Sgr 273.59792  -27.709547 -5133259150270231030 273.59786420543935 -27.70951257752869  6.2      
  SU_Sct    283.217091 -12.509848 -5492210114319550202 283.2171646044053  -12.509870229187158 1.467978 
  DV_Ser    280.053972 -2.384265  -6266407037764123343 280.0539644696616  -2.3842694840219276 23.0639  
  BC_Cma    110.281025 -21.510597 4609645324847077100  110.28101859690676 -21.51063728485532  4.1754   
  HK_Cas    14.333507  55.438824  -6403608496725143986 14.333496513350639 55.43882769963791   2.499563 
  EU_Cyg    297.822028 32.675537  -7362435412700715087 297.8220226457156  32.67554238784397   14.991176
  BC_Aql    289.350649 -9.081002  -5383631142054740445 289.3506772759499  -9.080977230413689  2.9051327
  QQ_Per    43.668304  51.824646  -7321111367685465981 43.66830739461606  51.824672678764244  11.194   
