,objid,ra_fit,dec_fit,rm,gm,chi2,DM, Ag, period,EBV,ng,nr,ni,nz,ny,Unnamed: 0,ra_params,dec_params,maxloglik,omega_best,tau_best,q,errorweightedmeanmag_g,errorweightedmeanmag_r,errorweightedmeanmag_i,errorweightedmeanmag_z,errorweightedmeanmag_y,gbandepochs,rbandepochs,ibandepochs,zbandepochs,ybandepochs,w1mpro,w2mpro,w1sigmpro,w2sigmpro,J,eJ,H,eH,K,eK,amp_g,amp_r,amp_i,amp_z,amp_y,gr,ri,iz,zy,gi,gy,iy,ry,iW1,iW2,W12,iK,gK,rK,zK,yK,JH,HK,iw1,w12,class_score,grm,class_score_2
1207,10316128265190077202,65.89979,48.11939,16.629,18.451,12.85,15.13,0.812,1.99972,1.577,11,9,9,11,9,787525,65.89978436,48.11939362,104.425807,0.15277852,25.95065203,83.55813568,18.3513711,15.55206399,16.63272797,14.90312887,14.46061226,11,9,9,11,9,11.481,11.49,0.024,0.022,12.923,0.023,12.011,0.028,11.696,0.023,0.781,0.203,0.1,0.06,0.073,1.71864313,1.08066398,0.64893512,0.44251661,2.79930711,3.89075884,1.09145173,2.17211571,4.07106399,4.06206399,-0.009,3.85606399,6.6553711,4.93672797,3.20712887,2.76461226,0.912,0.315,,,0.538135528564,1.822,0.842008292675
1303,10351523743511548003,60.7426,54.58529,15.553,17.22,23.725,13.533,0.509,1.06736,1.518,14,13,13,10,13,4113578,60.74259616,54.58529313,147.82281846,0.15277852,17.31381436,149.49962296,17.18246065,14.55983466,15.53025583,13.99560009,13.59508859,14,13,13,10,13,10.676,10.628,0.023,0.021,11.757,0.022,10.942,0.03,10.7,0.023,0.541,0.346,0.441,0.329,0.276,1.65220482,0.97042117,0.56423457,0.4005115,2.62262599,3.58737206,0.96474607,1.93516724,3.88383466,3.93183466,0.048,3.85983466,6.48246065,4.83025583,3.29560009,2.89508859,0.815,0.242,,,0.541193783283,1.667,0.786258101463
1306,10351558927883647523,60.72406,54.17597,14.59,16.517,8.083,14.079,0.646,3.08273,1.383,11,11,9,6,10,4115792,60.72406492,54.17596892,104.3135009,0.11284955,2.2888386,78.00232724,16.47322977,13.92912909,14.58433033,13.1539312,12.78921125,11,9,11,6,10,10.119,10.066,0.025,0.023,11.333,0.028,10.592,0.036,10.303,0.03,0.187,0.407,0.23,0.062,0.201,1.88889944,0.65520124,0.77519789,0.36471995,2.54410068,3.68401852,1.13991784,1.79511908,3.81012909,3.86312909,0.053,3.62612909,6.17022977,4.28133033,2.8509312,2.48621125,0.741,0.289,,,0.547254264355,1.927,0.955529749393
1323,10351981140348932476,63.92292,49.42375,14.684,16.526,12.16,14.075,0.859,4.49469,1.556,14,12,5,4,10,5266547,63.92291886,49.42374806,67.49852611,0.28001884,2.2888386,453.88073996,16.42868037,13.75335402,14.68832833,13.09709786,12.46369454,14,5,12,4,10,9.601,9.545,0.022,0.02,10.82,0.022,10.088,0.019,9.789,0.019,0.914,0.678,0.368,0.144,0.438,1.74035204,0.93497431,0.65625616,0.63340332,2.67532635,3.96498583,1.28965948,2.22463379,4.15235402,4.20835402,0.056,3.96435402,6.63968037,4.89932833,3.30809786,2.67469454,0.732,0.299,,,0.547254264355,1.842,0.992919027805
1439,10387921976437038327,62.69716,50.06725,16.755,18.233,90.54,19.577,0.919,34.39152,0.994,10,10,10,6,10,1723257,62.69715525,50.06724887,84.78393404,0.28001884,11.55146959,484.55641498,18.31300013,15.75931634,16.83340316,15.43776277,14.87976666,10,10,10,6,10,12.175,12.099,0.025,0.024,13.438,0.028,12.809,0.035,12.495,0.032,1.095,0.522,0.193,0.808,0.806,1.47959697,1.07408682,0.32155357,0.55799611,2.55368379,3.43323347,0.87954968,1.9536365,3.58431634,3.66031634,0.076,3.26431634,5.81800013,4.33840316,2.94276277,2.38476666,0.629,0.314,,,0.547254264355,1.478,0.841055631638
1448,10388080306111527158,63.99307,48.42347,18.184,19.91,13.629,16.097,0.509,1.35819,1.617,10,6,7,6,9,1461540,63.99306872,48.42346844,76.77667259,0.11284955,17.31381436,71.81070319,19.90325673,17.06035025,18.18867751,16.5626229,16.19094929,10,7,6,6,9,13.264,13.237,0.024,0.03,14.643,0.035,13.788,0.033,13.556,0.046,0.498,0.05,0.47,0.051,0.08,1.71457922,1.12832726,0.49772735,0.37167361,2.84290648,3.71230744,0.86940096,1.99772822,3.79635025,3.82335025,0.027,3.50435025,6.34725673,4.63267751,3.0066229,2.63494929,0.855,0.232,,,0.541193783283,1.726,0.744548082352
1453,10388115490483471101,64.12563,47.89871,18.081,19.761,26.018,17.925,0.458,4.04828,1.363,13,10,12,9,14,1060816,64.12562711,47.89870938,97.32471916,0.20683536,1.01883565,174.95840523,19.80204872,17.19240011,18.07451329,16.54353998,16.14110278,13,12,10,9,14,13.169,13.131,0.025,0.03,14.993,0.041,14.059,0.051,13.784,0.05,0.994,0.097,0.597,0.582,0.296,1.72753543,0.88211318,0.64886013,0.4024372,2.60964861,3.66094594,1.05129733,1.93341051,4.02340011,4.06140011,0.038,3.40840011,6.01804872,4.29051329,2.75953998,2.35710278,0.934,0.275,,,0.547254264355,1.68,0.806875705719
1460,10388291412344287969,65.3613,45.93013,16.859,17.651,25.479,18.274,0.446,2.99186,0.462,10,9,10,11,12,890560,65.36130063,45.93013188,118.85676571,0.08335609,0.67974906,73.93266176,17.57420297,16.4224976,16.86153054,16.14864561,15.90355903,10,10,9,11,12,14.217,14.198,0.031,0.047,14.942,0.039,14.548,0.042,14.297,0.059,0.646,0.04,0.022,0.03,0.05,0.71267243,0.43903294,0.27385199,0.24508658,1.15170537,1.67064394,0.51893857,0.95797151,2.2054976,2.2244976,0.019,2.1254976,3.27720297,2.56453054,1.85164561,1.60655903,0.394,0.251,,,0.540156126022,0.792,0.682496130466
1506,10405760453086953675,61.12969,51.86728,18.203,19.901,16.167,19.825,0.456,10.44587,0.989,14,10,14,14,16,4774036,61.12969303,51.86727536,123.19126234,0.15277852,0.20187478,118.74454389,19.83249585,17.46143825,18.19091015,16.96387303,16.59358358,14,14,10,14,16,13.981,13.941,0.028,0.036,15.051,0.048,14.278,0.047,14.123,0.068,0.53,0.253,0.429,0.39,0.44,1.6415857,0.7294719,0.49756522,0.37028945,2.3710576,3.23891227,0.86785467,1.59732657,3.48043825,3.52043825,0.04,3.33843825,5.70949585,4.06791015,2.84087303,2.47058358,0.773,0.155,,,0.54149967432,1.698,0.768170773983
1564,10423722075037607643,60.68793,52.20488,14.173,15.536,15.738,14.414,1.01,4.16046,1.092,15,10,3,3,11,4744749,60.687926,52.20488153,77.00460979,0.28001884,7.70693545,490.67855012,15.49121778,13.1834551,14.18991937,12.42463727,12.3303015,15,3,10,3,11,9.651,9.589,0.023,0.021,11.046,0.023,10.328,0.03,10.068,0.023,1.099,0.767,0.009,0.015,0.489,1.30129841,1.00646427,0.75881783,0.09433577,2.30776268,3.16091628,0.8531536,1.85961787,3.5324551,3.5944551,0.062,3.1154551,5.42321778,4.12191937,2.35663727,2.2623015,0.718,0.26,,,0.546298623085,1.363,0.91199606657
