# obj_id               ra_1               dec                 mjd_obs          filterid cal_psf_mag cal_psf_mag_sig ID              Field    StarID RA_2        Decl        I      V      P_1        Separation T0         
  5297464614812341808  264.4942976059587  -22.503364236697273 55280.6012026384 y.0000   15.808085   0.03202248      OGLE-BLG-CEP-02 BLG336.2 114493 17:37:58.64 -22:30:12.1 15.682 17.482 2.0255748  0.1193567240794715  5001.72283
  5405375084009901916  267.2793902627383  -23.12184800125681  56404.600158896  z.0000   15.632948   0.04231453      OGLE-BLG-CEP-05 BLG343.2 121449 17:49:07.05 -23:07:18.7 15.374 17.675 3.7955932  0.06914413625884182 5001.89525
  5441403881028979937  267.4668299229022  -22.82479404400677  56474.3699554759 g.0000   19.025776   0.03398895      OGLE-BLG-CEP-07 BLG343.4 98754  17:49:52.04 -22:49:29.5 16.367 18.492 1.5454861  0.24170661952876846 5000.53914
  5098690504695957077  268.65940222402315 -30.178404326028986 55822.2406131438 g.0000   16.991497   0.04554558      OGLE-BLG-CEP-14 non      0      17:54:38.21 -30:10:41.8 14.962 16.743 1.5317619  0.7560697675035922  	5001.46130
  -5223559841232239453 270.44711778172444 -29.127615895031653 55283.5988767514 y.0000   13.927133   0.08418465      OGLE-BLG-CEP-25 BLG207.8 84204  18:01:47.31 -29:07:39.4 14.18  15.648 1.3391918  0.028493361954050125 5001.02595
  -5313420727552861971 271.64804554706774 -26.350617845723466 55283.5982757872 y.0000   14.027585   0.08273315      OGLE-BLG-CEP-28 BLG241.4 18264  18:06:35.53 -26:21:02.2 14.203 16.369 2.4141345  0.027285523201651448 5000.42634
  -5151414286264946750 271.89756756640395 -28.907035566356793 56528.2537965975 z.0000   12.345784   0.41689587      OGLE-BLG-CEP-29 BLG209.7 220490 18:07:35.42 -28:54:25.4 14.32  15.529 2.3760846  0.0874493057292207  5000.02742
  -5223260774073946763 273.3871822610055  -26.393515941239915 55091.2521007271 i.0000   12.364607   0.08605194      OGLE-BLG-CEP-31 BLG244.6 0      18:13:32.92 -26:23:36.6 11.839 12.971 12.9751466 0.07630395227704709 	5000.04476
  -5259184017976312346 274.0285729004736  -24.882386476939597 56401.6255556359 y.0000   14.992851   0.05550194      OGLE-BLG-CEP-32 BLG266.7 10160  18:16:06.86 -24:52:56.6 15.047 16.731 3.736399   0.03516089019007789 5001.19748
